"id","code","name","units_id","std","model","material","design","weight","length","wide","deth","remark","expiredate","persons_id_upd","update_ip","created_at","updated_at","datascale","classlists_id"
30018,q111,q111,85,tedt,"",test111111111111,"",0.00,0.000000,0.00,0.000000,"",2099-12-31,0,"",2019-10-12 16:25:11,2019-10-29 21:31:54,0,1
24571,T5294,T5294name,85,テスト,"1",品目material5,,0.00,0.000000,1.00,0.000000,hh,2099-12-31,0,,2014-04-19 10:19:28,2014-04-19 10:19:28,0,1
24572,T5295,T5295name,85,テスト,"1",品目material5,,0.00,0.000000,1.00,0.000000,hh,2099-12-31,0,,2014-04-19 10:19:28,2014-04-19 10:19:28,0,1
24573,T5296,T5296name,85,テスト,"1",品目material5,,0.00,0.000000,1.00,0.000000,hh,2099-12-31,0,,2014-04-19 10:19:28,2014-04-19 10:19:28,0,1
24574,T5297,T5297name,85,テスト,"1",品目material5,,0.00,0.000000,1.00,0.000000,hh,2099-12-31,0,,2014-04-19 10:19:28,2014-04-19 10:19:28,0,1
24575,T5298,T5298name,85,テスト,"1",品目material5,,0.00,0.000000,1.00,0.000000,hh,2099-12-31,0,,2014-04-19 10:19:28,2014-04-19 10:19:28,0,1
24576,T5299,T5299name,85,テスト,"1",品目material5,,0.00,0.000000,1.00,0.000000,hh,2099-12-31,0,,2014-04-19 10:19:28,2014-04-19 10:19:28,0,1
24577,T5300,T5300name,85,テスト,"1",品目material5,,0.00,0.000000,1.00,0.000000,hh,2099-12-31,0,,2014-04-19 10:19:28,2014-04-19 10:19:28,0,1
24578,T5301,T5301name,85,テスト,"1",品目material5,,0.00,0.000000,1.00,0.000000,hh,2099-12-31,0,,2014-04-19 10:19:28,2014-04-19 10:19:28,0,1
24579,T5302,T5302name,85,テスト,"1",品目material5,,0.00,0.000000,1.00,0.000000,hh,2099-12-31,0,,2014-04-19 10:19:28,2014-04-19 10:19:28,0,1
24580,T5303,T5303name,85,テスト,"1",品目material5,,0.00,0.000000,1.00,0.000000,hh,2099-12-31,0,,2014-04-19 10:19:28,2014-04-19 10:19:28,0,1
24581,T5304,T5304name,85,テスト,"1",品目material5,,0.00,0.000000,1.00,0.000000,hh,2099-12-31,0,,2014-04-19 10:19:28,2014-04-19 10:19:28,0,1
25141,,,85,,,,,0.00,0.000000,1.00,0.000000,,2099-12-31,0,,2014-07-05 22:10:47,2014-07-05 22:10:47,0,1
399,ITEM3200,部品3200,85,テスト,,,,0.00,0.000000,1.00,0.000000,,2099-12-31,0,,2013-05-06 17:45:35,2019-12-05 20:56:06,0,4
30024,dummyship,出庫・出荷用dummy,85,"","","","",0.00,0.000000,0.00,0.000000,"",2099-12-31,0,"",2020-01-25 17:35:24,2020-01-25 17:35:24,0,10
25281,G2,製品2,85,,,material,,0.00,0.000000,1.00,0.000000,,2099-12-31,0,"127.0.0.1",2016-04-02 21:40:35,2020-02-09 20:02:10,0,8
24582,T5305,T5305name,85,テスト,"1",品目material5,,0.00,0.000000,1.00,0.000000,hh,2099-12-31,0,,2014-04-19 10:19:28,2014-04-19 10:19:28,0,1
24583,T5306,T5306name,85,テスト,"1",品目material5,,0.00,0.000000,1.00,0.000000,hh,2099-12-31,0,,2014-04-19 10:19:28,2014-04-19 10:19:28,0,1
24584,T5307,T5307name,85,テスト,"1",品目material5,,0.00,0.000000,1.00,0.000000,hh,2099-12-31,0,,2014-04-19 10:19:28,2014-04-19 10:19:28,0,1
24585,T5308,T5308name,85,テスト,"1",品目material5,,0.00,0.000000,1.00,0.000000,hh,2099-12-31,0,,2014-04-19 10:19:28,2014-04-19 10:19:28,0,1
24586,T5309,T5309name,85,テスト,"1",品目material5,,0.00,0.000000,1.00,0.000000,hh,2099-12-31,0,,2014-04-19 10:19:28,2014-04-19 10:19:28,0,1
24587,T5310,T5310name,85,テスト,"1",品目material5,,0.00,0.000000,1.00,0.000000,hh,2099-12-31,0,,2014-04-19 10:19:28,2014-04-19 10:19:28,0,1
30003,"30003","30003Name",85,"","","","",0.00,0.000000,0.00,0.000000,"",2099-12-31,0,"",2019-08-23 14:52:02,2019-08-23 14:52:02,0,1
63,ITEM3001,部品3001,85,テスト,,,デザイン2,0.00,0.000000,1.00,0.000000,,2099-12-31,0,,2013-05-06 02:39:32,2013-05-06 21:58:56,0,1
64,ITEM3002,部品3002,85,テスト,,,デザイン3,0.00,0.000000,1.00,0.000000,,2099-12-31,0,,2013-05-06 02:39:32,2013-05-06 21:58:56,0,1
65,ITEM3003,部品3003,85,テスト,,,デザイン4,0.00,0.000000,1.00,0.000000,,2099-12-31,0,,2013-05-06 02:39:32,2013-05-06 21:58:56,0,1
66,ITEM3004,部品3004,85,テスト,,,デザイン5,0.00,0.000000,1.00,0.000000,,2099-12-31,0,,2013-05-06 02:39:32,2013-05-06 21:58:56,0,1
67,ITEM3005,部品3005,85,テスト,,,デザイン6,0.00,0.000000,1.00,0.000000,,2099-12-31,0,,2013-05-06 02:39:32,2013-05-06 21:58:56,0,1
68,ITEM3006,部品3006,85,テスト,,,デザイン7,0.00,0.000000,1.00,0.000000,,2099-12-31,0,,2013-05-06 02:39:32,2013-05-06 21:58:56,0,1
69,ITEM3007,部品3007,85,テスト,,,デザイン8,0.00,0.000000,1.00,0.000000,,2099-12-31,0,,2013-05-06 02:39:32,2013-05-06 21:58:56,0,1
70,ITEM3008,部品3008,85,テスト,,,デザイン9,0.00,0.000000,1.00,0.000000,,2099-12-31,0,,2013-05-06 02:39:32,2013-05-06 21:58:56,0,1
71,ITEM3009,部品3009,85,テスト,,,デザイン10,0.00,0.000000,1.00,0.000000,,2099-12-31,0,,2013-05-06 02:39:32,2013-05-06 21:58:56,0,1
30025,test0209,"0209品目",85,std,model2009,material,design,0.00,0.000000,0.00,0.000000,"",2099-12-31,0,"",2020-02-09 20:05:25,2020-02-09 20:21:57,0,1
72,ITEM3010,部品3010,85,テスト,,,デザイン11,0.00,0.000000,1.00,0.000000,,2099-12-31,0,,2013-05-06 02:39:32,2013-05-06 21:58:56,0,1
73,ITEM3011,部品3011,85,テスト,,,デザイン12,0.00,0.000000,1.00,0.000000,,2099-12-31,0,,2013-05-06 02:39:32,2013-05-06 21:58:56,0,1
74,ITEM3012,部品3012,85,テスト,,,デザイン13,0.00,0.000000,1.00,0.000000,,2099-12-31,0,,2013-05-06 02:39:32,2013-05-06 21:58:56,0,1
75,ITEM3013,部品3013,85,テスト,,,デザイン14,0.00,0.000000,1.00,0.000000,,2099-12-31,0,,2013-05-06 02:39:32,2013-05-06 21:58:56,0,1
76,ITEM3014,部品3014,85,テスト,,,デザイン15,0.00,0.000000,1.00,0.000000,,2099-12-31,0,,2013-05-06 02:39:32,2013-05-06 21:58:56,0,1
30020,aaaaa,aaaaa,85,"","","","",0.00,0.000000,0.00,0.000000,"",2099-12-31,0,"",2019-10-16 01:29:19,2019-10-16 01:29:19,0,1
77,ITEM3015,部品3015,85,テスト,,,デザイン16,0.00,0.000000,1.00,0.000000,,2099-12-31,0,,2013-05-06 02:39:32,2013-05-06 21:58:57,0,1
78,ITEM3016,部品3016,85,テスト,,,デザイン17,0.00,0.000000,1.00,0.000000,,2099-12-31,0,,2013-05-06 02:39:32,2013-05-06 21:58:57,0,1
79,ITEM3017,部品3017,85,テスト,,,デザイン18,0.00,0.000000,1.00,0.000000,,2099-12-31,0,,2013-05-06 02:39:32,2013-05-06 21:58:57,0,1
80,ITEM3018,部品3018,85,テスト,,,,0.00,0.000000,1.00,0.000000,,2099-12-31,0,,2013-05-06 17:45:27,2013-05-06 17:45:27,0,1
81,ITEM3019,部品3019,85,テスト,,,,0.00,0.000000,1.00,0.000000,,2099-12-31,0,,2013-05-06 17:45:27,2013-05-06 17:45:27,0,1
82,ITEM3020,部品3020,85,テスト,,,,0.00,0.000000,1.00,0.000000,,2099-12-31,0,,2013-05-06 17:45:27,2013-05-06 17:45:27,0,1
83,ITEM3021,部品3021,85,テスト,,,,0.00,0.000000,1.00,0.000000,,2099-12-31,0,,2013-05-06 17:45:27,2013-05-06 17:45:27,0,1
84,ITEM3022,部品3022,85,テスト,,,,0.00,0.000000,1.00,0.000000,,2099-12-31,0,,2013-05-06 17:45:27,2013-05-06 17:45:27,0,1
85,ITEM3023,部品3023,85,テスト,,,,0.00,0.000000,1.00,0.000000,,2099-12-31,0,,2013-05-06 17:45:27,2013-05-06 17:45:27,0,1
86,ITEM3024,部品3024,85,テスト,,,,0.00,0.000000,1.00,0.000000,,2099-12-31,0,,2013-05-06 17:45:27,2013-05-06 17:45:27,0,1
